,Unnamed: 0,tweet_id,date,text,user,preproc
198,198,1531796331236409345,2022-06-01 00:34:39+00:00,Esta palestra começará com texto não estruturado e terminará com um grafo de conhecimento em Neo4j usando pacotes Python padrão para Processamento de Linguagem Natural. https://t.co/QCIAacmd0J,fabiano_adelino,palestrar começar texto estruturar terminar grafar conhecimento neo j usar pacote python padrão processamento linguagem natural https t co qciaacmd j
199,199,1531795902352039936,2022-06-01 00:32:57+00:00,@flaviojuvenal @leozeba @_renatoOliveira @awscloud @tongueroo Manda um rt e cc a turma de Python que tu conhece 😅,dinizz,flaviojuvenal leozeba awscloud tongueroo mandar rt c turma python conhecer
200,200,1531794706895626240,2022-06-01 00:28:12+00:00,"@zSparkiexZ @aYasmin_n @gle82oliveira No Cássio eu confio, mas o gilgeladeira e o Lucas python na lateral não dá",Farujix,zsparkiexz ayasmin_n gle oliveira cássio confiar gilgeladeira luca python lateral
201,201,1531793027517370369,2022-06-01 00:21:31+00:00,"@alfacinho__ Python tenho uma boa base, Java Script pode ser, já que tem o Node agora e tals",_jorge_melo_,alfacinho _ _ python base java script node tals
202,202,1531792790660780033,2022-06-01 00:20:35+00:00,@_jorge_melo_ python e JavaScript são presente e futuro,alfacinho__,python javascript presentar futurar
203,203,1531789897127936000,2022-06-01 00:09:05+00:00,Celebrating José de Almada Negreiros #Python #Tweepy https://t.co/KCO0HIWuds,redmaytals,celebrating josé almada negreiro python tweepy https t co kco hiwuds
204,204,1531789502250893312,2022-06-01 00:07:31+00:00,"@naruteirarabuda Kct, aí é tenso... E nada te garante que vai funcionar 100%... Gostava muito da GoInsta, mas foi escrita em Go, e pra Python usei a InstaLooter, pro Facebook a depender do q seja rola pegar da API original",TioTodi,naruteirarabuda kct tenso garantir funcionar gostar goinsta escrito go pra python usar instalooter pro facebook depender q ser rolo api original
205,205,1531789371602526209,2022-06-01 00:07:00+00:00,usando o R como se fosse python e claramente dando tudo errado,sojustthisonce,usar r ser python claramente dar errar
206,206,1531788316751933440,2022-06-01 00:02:48+00:00,@_StaticVoid Vcs usam oq pra automação? Python?,Junj_e,vcs usar oq pra automação python
207,207,1531788030419271680,2022-06-01 00:01:40+00:00,"@LenninAmora O triste é que muitos dos cornojobs são ""one time and specific motherfucker thing"". Não dá nem pra pensar em uma interface python para automatizar. O tempo de construção do código não compensa para um único uso.",pedrolimach,lenninamora triste cornojobs one time and specific motherfucker thing pra pensar interface python automatizar construção código compensar único usar
208,208,1531788003772858368,2022-06-01 00:01:34+00:00,"Meu Deus, 2x que me perguntam se quero participar de processo seletivo só que pra Python e PJ.

Por que é tão difícil uma propostinha dessa em front e CLT? 

#bolhadev #bolhatech",loren_amattos,deus x perguntar participar processar seletivo pra python pj difícil propostinha front clt bolhadev bolhatech
